"NumEnr"|"Référence"|"Tare"|"Commentaires"|"Date_Création"|"Date_Modification"|"Clos"|"Stockage"|"Article"
"413"|"a1155"|"56303"|""|"01/08/2006 12:09:39"|"01/08/2006 12:09:54"|"0"|"veg-6"|"657"
"414"|"O1D6"|"10135"|"Stock miroir"|"01/08/2006 12:09:43"|"28/06/2010 09:15:13"|"0"|"2B-A11"|"657"
"415"|"a1059"|"53903"|""|"01/08/2006 12:12:55"|"01/08/2006 12:13:05"|"0"|"veg-2"|"661"
"416"|"O2A8"|"10023"|"Stock miroir"|"01/08/2006 12:12:57"|"28/06/2010 09:16:21"|"0"|"2B-A12"|"661"
"417"|"a1077"|"54580"|""|"01/08/2006 12:15:48"|"01/08/2006 12:15:58"|"0"|"veg-1"|"662"
"418"|"O2A9"|"10179"|"Stock miroir"|"01/08/2006 12:15:50"|"28/06/2010 09:16:24"|"0"|"2B-A12"|"662"
"419"|"y097"|"36032"|""|"01/08/2006 15:15:32"|"20/08/2010 12:16:02"|"0"|"VEG-9"|"666"
"420"|"a1081"|"54085"|""|"01/08/2006 15:15:34"|"01/08/2006 15:16:03"|"0"|"veg-2"|"666"
"421"|"O1E8"|"10256"|"Stock miroir"|"01/08/2006 15:15:52"|"28/06/2010 09:15:41"|"0"|"2B-A11"|"666"
"423"|"a1111"|"54485"|""|"01/08/2006 15:24:27"|"01/08/2006 15:24:39"|"0"|"veg-5"|"669"
"424"|"a1132"|"55305"|""|"01/08/2006 15:25:51"|"01/08/2006 15:26:01"|"0"|"veg-5"|"671"
"425"|"a1087"|"54655"|""|"01/08/2006 15:28:03"|"01/08/2006 15:28:15"|"0"|"veg-2"|"672"
"426"|"O1A4"|"10103"|"Stock miroir"|"01/08/2006 15:28:04"|"28/06/2010 09:13:43"|"0"|"2B-A11"|"672"
"427"|"a1143"|"55249"|""|"01/08/2006 16:16:51"|"01/08/2006 16:17:04"|"0"|"veg-6"|"673"
"428"|"a1025"|"54552"|""|"01/08/2006 16:16:53"|"27/10/2008 16:38:51"|"1"|"veg-1"|"673"
"429"|"O1B2"|"10104"|"Stock miroir"|"01/08/2006 16:17:08"|"28/06/2010 09:14:04"|"0"|"2B-A11"|"673"
"430"|"a1085"|"53780"|""|"01/08/2006 16:24:41"|"01/08/2006 16:24:54"|"0"|"veg-3"|"674"
"431"|"O1B3"|"10275"|"Stock miroir"|"01/08/2006 16:24:43"|"28/06/2010 09:14:07"|"0"|"2B-A11"|"674"
"432"|"a1093"|"54848"|""|"01/08/2006 16:29:29"|"01/08/2006 16:29:45"|"0"|"veg-4"|"675"
"433"|"O1B4"|"9873"|"Stock miroir"|"01/08/2006 16:29:34"|"28/06/2010 09:14:11"|"0"|"2B-A11"|"675"
"434"|"a1071"|"54540"|""|"01/08/2006 16:33:29"|"01/08/2006 16:33:39"|"0"|"veg-3"|"676"
"435"|"a1108"|"54007"|""|"01/08/2006 16:37:12"|"01/08/2006 16:37:21"|"0"|"veg-3"|"678"
"436"|"O1A6"|"10180"|"Stock miroir"|"01/08/2006 16:37:13"|"28/06/2010 09:13:48"|"0"|"2B-A11"|"678"
"439"|""|"0"|""|"02/08/2006 10:03:18"|"21/03/2013 16:15:56"|"0"|"2b-b13"|"684"
"440"|"A1057"|"54603"|""|"02/08/2006 10:39:51"|"10/09/2013 12:45:41"|"0"|"veg-2"|"807"
"441"|"2B-B9"|"0"|""|"02/08/2006 10:40:17"|"14/11/2011 14:38:22"|"0"|"2b-b9"|"571"
"442"|"a1058"|"54733"|""|"02/08/2006 10:45:02"|"02/08/2006 10:45:11"|"0"|"veg-2"|"631"
"443"|"a1137"|"54450"|""|"02/08/2006 10:47:13"|"02/08/2006 10:47:21"|"0"|"veg-5"|"679"
"444"|"a1171"|"56133"|""|"02/08/2006 10:51:49"|"02/08/2006 10:51:59"|"0"|"veg-2"|"683"
"445"|"O1D7"|"10061"|"Stock miroir"|"02/08/2006 10:51:51"|"28/06/2010 09:15:15"|"0"|"2B-A11"|"683"
"446"|"a1095"|"54703"|""|"02/08/2006 16:21:50"|"02/08/2006 16:21:59"|"0"|"veg-1"|"690"
"447"|"O2B3"|"10020"|"Stock miroir"|"02/08/2006 16:21:51"|"28/06/2010 09:16:30"|"0"|"2B-A12"|"690"
"448"|"a1064"|"54525"|""|"02/08/2006 16:23:55"|"02/08/2006 16:24:04"|"0"|"veg-2"|"688"
"449"|"O1E1"|"10175"|"Stock miroir"|"02/08/2006 16:23:57"|"28/06/2010 09:15:23"|"0"|"2B-A11"|"688"
"450"|"a1109"|"53897"|""|"02/08/2006 16:26:32"|"02/08/2006 16:26:42"|"0"|"veg-1"|"689"
"451"|"O2A3"|"10060"|"Stock miroir"|"02/08/2006 16:26:34"|"28/06/2010 09:15:53"|"0"|"2B-A12"|"689"
"453"|"A1233"|"56309"|""|"04/08/2006 14:48:12"|"30/01/2007 17:05:31"|"1"|"1aa1-veg-1"|"712"
"454"|"a1051"|"53928"|""|"04/08/2006 14:48:13"|"01/03/2007 08:47:28"|"1"|"1aa1-VEG-1"|"712"
"455"|"O1A5"|"10154"|"Stock miroir"|"04/08/2006 14:49:51"|"28/06/2010 09:13:46"|"0"|"2B-A11"|"712"
"456"|"a1148"|"54322"|""|"04/08/2006 15:41:25"|"19/08/2008 11:06:51"|"0"|"VEg4"|"692"
"457"|"O1B5"|"10176"|"Stock miroir"|"04/08/2006 15:41:28"|"28/06/2010 09:14:13"|"0"|"2B-A11"|"692"
"458"|"2B-G8"|"0"|""|"08/08/2006 14:43:26"|"14/11/2011 14:32:16"|"0"|"2B-G8"|"569"
"460"|"a1091"|"54715"|""|"09/08/2006 08:44:35"|"09/08/2006 08:44:46"|"0"|"veg-3"|"808"
"461"|"b472"|"30427"|""|"09/08/2006 08:53:11"|"31/08/2011 10:03:03"|"0"|"SPD-1"|"543"
"462"|"b301"|"31273"|""|"09/08/2006 08:56:18"|"31/08/2011 10:04:00"|"0"|"SPD-1"|"544"
"463"|"a734"|"56011"|""|"09/08/2006 08:56:21"|"31/08/2011 10:04:14"|"0"|"SPD-1"|"544"
"466"|"a1217"|"58634"|"clos le 23/02/2006"|"09/08/2006 09:31:39"|"13/05/2013 14:01:49"|"1"|"vip-1"|"290"
"467"|"y095"|"35952"|""|"09/08/2006 09:31:44"|"08/09/2008 15:00:47"|"0"|"tbs-3"|"290"
"468"|"a1144"|"55322"|""|"10/08/2006 09:58:44"|"10/08/2006 09:58:56"|"0"|"veg-4"|"693"
"469"|"O1D9"|"10094"|"Stock miroir"|"10/08/2006 09:59:40"|"28/06/2010 09:15:21"|"0"|"2B-A11"|"693"
"470"|"a1062"|"54597"|""|"10/08/2006 10:02:54"|"10/08/2006 10:03:04"|"0"|"veg-1"|"694"
"471"|"O1A2"|"10219"|"Stock miroir"|"10/08/2006 10:02:55"|"28/06/2010 09:13:36"|"0"|"2B-A11"|"694"
"472"|"a1099"|"53992"|""|"10/08/2006 10:06:25"|"10/08/2006 10:06:36"|"0"|"veg-4"|"696"
"473"|"O1E4"|"10057"|"Stock miroir"|"10/08/2006 10:06:26"|"28/06/2010 09:15:31"|"0"|"2B-A11"|"696"
"474"|"b1032"|"30848"|""|"10/08/2006 11:38:24"|"10/08/2006 11:38:35"|"0"|"veg-6"|"711"
"475"|"a1082"|"53860"|""|"10/08/2006 11:40:13"|"10/08/2006 11:40:24"|"0"|"veg-1"|"720"
"476"|"Y154"|"36057"|""|"10/08/2006 11:40:15"|"10/08/2006 11:40:39"|"0"|"tbs-9"|"720"
"477"|"O1D8"|"10207"|"Stock miroir"|"10/08/2006 11:40:29"|"28/06/2010 09:15:18"|"0"|"2B-A11"|"720"
"478"|"a1101"|"54438"|""|"10/08/2006 14:04:20"|"10/08/2006 14:07:24"|"0"|"veg-1"|"723"
"479"|"a1172"|"53687"|""|"10/08/2006 14:07:10"|"19/08/2008 11:06:58"|"0"|"veg-0"|"723"
"480"|"a1125"|"55336"|""|"10/08/2006 14:20:47"|"10/08/2006 14:20:59"|"0"|"veg-6"|"742"
"481"|"b1031"|"30786"|""|"10/08/2006 14:27:25"|"10/08/2006 14:27:46"|"0"|"veg-6"|"722"
"482"|"a1119"|"54379"|""|"10/08/2006 17:09:41"|"10/08/2006 17:09:58"|"0"|"veg-5"|"734"
"483"|"a1060"|"53999"|""|"10/08/2006 17:13:31"|"10/08/2006 17:13:52"|"0"|"veg-2"|"737"
"484"|"b1026"|"30871"|""|"10/08/2006 17:28:34"|"10/08/2006 17:28:45"|"0"|"veg-6"|"726"
"485"|"O2B1"|"10040"|"Stock miroir"|"10/08/2006 17:28:36"|"28/06/2010 09:16:26"|"0"|"2B-A12"|"726"
"486"|"a1150"|"54433"|""|"11/08/2006 08:39:03"|"11/08/2006 08:39:13"|"0"|"veg-4"|"731"
"487"|"O1B6"|"9988"|"Stock miroir"|"11/08/2006 08:39:05"|"28/06/2010 09:14:16"|"0"|"2B-A11"|"731"
